get,tank1psia,task2psia,mnav,mnbv,fc1c,fc2c,fc3c
55:53:00,890,890,,,,,
55:53:19,895,,,,,,
55:53:20,885,890,,,,,
55:53:21,885,890,,,,,
55:53:22,888,888,,,,,
55:53:23,888,888,,,,,
55:53:24,,892,,,,,
55:53:36,880,885,,,,,
55:53:37,880,890,,,,,
55:53:39,880,893,,,,,
55:53:40,885,896,,,,,
55:53:43,885,896,,,,,
55:53:44,882,898,,,,,
55:53:45,883,905,,,,,
55:53:46,885,903,,,,,
55:53:47,883,910,,,,,
55:53:48,882,913,,,,,
55:53:49,882,915,,,,,
55:53:50,880,917,,,,,
55:53:51,,920,,,,,
55:53:52,,921,,,,,
55:53:53,,925,,,,,
55:53:54,,923,,,,,
55:53:55,,927,29.5,29,24.3,21,20.5
55:53:56,,933,,,,,
55:53:57,880,938,,,,,
55:53:58,,942,,,,,
55:53:59,,943,,,,,
55:54:00,,947,,,,,
55:54:01,,953,,,,,
55:54:02,,952,,,,,
55:54:03,,954,,,,,
55:54:04,,955,,,,,
55:54:05,,955,,,,,
55:54:06,,954,,,,,
55:54:07,,955,,,,,
55:54:08,,955,,,,,
55:54:09,,953,,,,,
55:54:10,,954,,,,,
55:54:11,,953,,,,,
55:54:12,,954,,,,,
55:54:13,,954,,,,,
55:54:14,,954,,,,,
55:54:15,,955,,,,,
55:54:16,,958,,,,,
55:54:17,,957,,,,,
55:54:18,,958,,,,,
55:54:19,,962,,,,,
55:54:20,,963,29,28.5,26.7,23,22.5
55:54:21,,963,,,,,
55:54:22,,962,,,,,
55:54:23,,965,,,,,
55:54:24,,966,,,,,
55:54:25,,965,,,,,
55:54:26,,965,,,,,
55:54:27,,964,,,,,
55:54:28,,970,,,,,
55:54:29,880,971,,,,,
55:54:30,885,975,,,,,
55:54:31,885,975,,,,,
55:54:32,880,975,,,,,
55:54:33,,975,,,,,
55:54:34,,978,,,,,
55:54:35,,980,,,,,
55:54:36,,977,,,,,
55:54:37,880,982,,,,,
55:54:38,881,983,,,,,
55:54:39,880,987,,,,,
55:54:40,882,990,28.8,28.8,26,23,22.5
55:54:41,880,992,,,,,
55:54:42,,993,,,,,
55:54:43,,1000,,,,,
55:54:44,,1000,,,,,
55:54:45,,1003,,,,,
55:54:46,,1007,,,,,
55:54:47,,1007,,,,,
55:54:48,,1002,,,,,
55:54:49,,1003,,,,,
55:54:50,,1003,,,,,
55:54:51,,1004,,,,,
55:54:52,,1000,,,,,
55:54:53,880,998,,,,,
55:54:54,875,996,,,,,
55:54:55,0,0,,,,,
55:54:57,0,0,,,,,
55:54:58,780,18,,,,,
55:54:59,780,18,,,,,
55:55:00,750,22,28.5,28,32,27.5,27
55:55:01,750,19,,,,,
55:55:02,720,22,,,,,
55:55:03,720,22,,,,,
55:55:04,700,22,,,,,
55:55:05,700,21,,,,,
55:55:06,686,,,,,,
55:55:07,686,,,,,,
55:55:08,671,,,,,,
